 -70.630   -0.816   82.102
 -60.540   -1.016   70.102
 -50.450   -0.916   59.102
 -40.360   -0.916   48.102
 -30.270   -0.816   36.102
 -20.180   -0.716   24.102
 -10.090   -0.616   13.102
   0.000   -0.516    1.102
  10.090   -0.516  -10.898
  20.180   -0.416  -22.898
  30.270   -0.416  -34.898
  40.360   -0.316  -46.898
  50.450   -0.216  -58.898
  60.540   -0.116  -70.898
  70.630   -0.016  -83.898
 -70.630   -0.616   82.102
 -60.540   -0.716   71.102
 -50.450   -0.716   59.102
 -40.360   -0.616   48.102
 -30.270   -0.616   36.102
 -20.180   -0.516   24.102
 -10.090   -0.516   13.102
   0.000   -0.416    1.102
  10.090   -0.316  -10.898
  20.180   -0.216  -22.898
  30.270   -0.216  -34.898
  40.360   -0.116  -46.898
  50.450   -0.016  -58.898
  60.540    0.084  -70.898
  70.630    0.184  -83.898
 -70.630   -0.516   82.102
 -60.540   -0.616   71.102
 -50.450   -0.616   59.102
 -40.360   -0.616   48.102
 -30.270   -0.616   36.102
 -20.180   -0.516   25.102
 -10.090   -0.416   13.102
   0.000   -0.316    1.1026
  10.090   -0.316  -10.898
  20.180   -0.216  -22.898
  30.270   -0.116  -33.898
  40.360   -0.016  -46.898
  50.450   -0.016  -58.898
  60.540    0.184  -70.898
  70.630    0.284  -83.898
 -70.630   -0.616   82.102
 -60.540   -0.716   71.102
 -50.450   -0.716   59.102
 -40.360   -0.716   48.102
 -30.270   -0.616   36.102
 -20.180   -0.516   25.102
 -10.090   -0.516   13.102
   0.000   -0.416    1.102
  10.090   -0.316  -10.898
  20.180   -0.316  -21.898
  30.270   -0.216  -33.898
  40.360   -0.116  -46.898
  50.450   -0.016  -58.898
  60.540    0.084  -70.8981
  70.630    0.284  -83.898
 -70.630   -1.116   82.102
 -60.540   -1.116   71.102
 -50.450   -1.016   59.102
 -40.360   -0.916   48.102
 -30.270   -0.816   36.102
 -20.180   -0.716   25.102
 -10.090   -0.616   13.102
   0.000   -0.616    1.102
  10.090   -0.516  -10.898
  20.180   -0.416  -22.898
  30.270   -0.416  -34.898
  40.360   -0.316  -46.898
  50.450   -0.316  -58.898
  60.540   -0.116  -70.898
  70.630   -0.116  -83.898
 -71.055   -1.016   82.102
 -60.904   -1.216   71.102
 -50.754   -1.116   59.102
 -40.603   -1.016   48.102
 -30.452   -0.916   36.102
 -20.302   -0.916   24.102
 -10.151   -0.716   13.102
   0.000   -0.616    1.102
  10.151   -0.516  -10.898
  20.302   -0.516  -22.898
  30.452   -0.416  -34.898
  40.603   -0.316  -46.898
  50.754   -0.216  -58.898
  60.904   -0.116  -70.898
  71.055   -0.016  -83.898
 -71.055   -0.816   82.102
 -60.904   -0.916   71.102
 -50.754   -0.916   59.102
 -40.603   -0.816   48.102
 -30.452   -0.716   36.102
 -20.302   -0.616   24.102
 -10.151   -0.516   13.102
   0.000   -0.416    1.102
  10.151   -0.316  -10.898
  20.302   -0.316  -22.898
  30.452   -0.216  -34.898
  40.603   -0.016  -46.898
  50.754    0.084  -58.898
  60.904    0.184  -70.898
  71.055    0.284  -83.898
 -71.055   -0.716   82.102
 -60.904   -0.816   71.102
 -50.754   -0.816   59.102
 -40.603   -0.716   48.102
 -30.452   -0.616   36.102
 -20.302   -0.616   25.102
