# lunarne efemeride 1995-2000
# datum RA[h] Dec[stopinje]
JUN18 15.33875 -14.01794
JUN19 16.23981 -16.40786
JUN20 17.18417 -17.95039
JUN21 18.16244 -18.45967
JUN22 19.15856 -17.82519
JUN23 20.15383 -16.04822
JUN24 21.13253 -13.24853
JUN25 22.08569 -9.63875
JUN26 23.01219 -5.48236
JUN27 23.91697 -1.05547
JUN28 0.80842 3.37689
JUN29 1.69569 7.57092
JUN30 2.58647 11.30708
JUL1 3.48517 14.39367
JUL2 4.39150 16.67497
JUL3 5.30056 18.04392
JUL4 6.20369 18.45456
JUL5 7.09097 17.92694
JUL6 7.95403 16.54028
JUL7 8.78806 14.41553
JUL8 9.59272 11.69442
JUL9 10.37181 8.52161
JUL10 11.13228 5.03403
JUL11 11.88336 1.35819
JUL12 12.63578 -2.38622
JUL13 13.40103 -6.07839
JUL14 14.19078 -9.58589
JUL15 15.01583 -12.75483
JUL16 15.88475 -15.40350
JUL17 16.80147 -17.32664
JUL18 17.76311 -18.31636
JUL19 18.75867 -18.20281
JUL20 19.77064 -16.90456
JUL21 20.77983 -14.46658
JUL22 21.77078 -11.06319
JUL23 22.73550 -6.96433
JUL24 23.67358 -2.48367
JUL25 0.59014 2.06800
JUL26 1.49289 6.41164
JUL27 2.38958 10.31153
JUL28 3.28589 13.57711
JUL29 4.18406 16.06258
JUL30 5.08244 17.66861
JUL31 5.97581 18.34667
AUG1 6.85694 18.10172
AUG2 7.71867 16.99014
AUG3 8.55592 15.11031
AUG4 9.36672 12.58875
AUG5 10.15275 9.56511
AUG6 10.91869 6.18044
AUG7 11.67158 2.57025
AUG8 12.42025 -1.13692
AUG9 13.17461 -4.81672
AUG10 13.94511 -8.34278
AUG11 14.74222 -11.57861
AUG12 15.57544 -14.37050
AUG13 16.45161 -16.54411
AUG14 17.37328 -17.91100
AUG15 18.33647 -18.29044
AUG16 19.33056 -17.54742
AUG17 20.33986 -15.63797
AUG18 21.34806 -12.64253
AUG19 22.34250 -8.76833
AUG20 23.31692 -4.31789
AUG21 0.27106 0.36308
AUG22 1.20858 4.93681
AUG23 2.13467 9.11003
AUG24 3.05347 12.65197
AUG25 3.96694 15.39839
AUG26 4.87397 17.24894
AUG27 5.77086 18.16172
AUG28 6.65247 18.14728
AUG29 7.51372 17.26072
AUG30 8.35106 15.59214
AUG31 9.16342 13.25597
SEP1 9.95233 10.38081
SEP2 10.72186 7.10133
SEP3 11.47792 3.55297
SEP4 12.22783 -0.13067
SEP5 12.97989 -3.81783
SEP6 13.74281 -7.37656
SEP7 14.52539 -10.67117
SEP8 15.33578 -13.55833
SEP9 16.18056 -15.88489
SEP10 17.06347 -17.49003
SEP11 17.98422 -18.21544
SEP12 18.93758 -17.92639
SEP13 19.91411 -16.54186
SEP14 20.90219 -14.06667
SEP15 21.89106 -10.61344
SEP16 22.87350 -6.40422
SEP17 23.84653 -1.74781
SEP18 0.81072 3.00167
SEP19 1.76817 7.49347
SEP20 2.72031 11.42347
SEP21 3.66647 14.56281
SEP22 4.60331 16.76933
SEP23 5.52528 17.98481
SEP24 6.42631 18.22211
SEP25 7.30133 17.54722
SEP26 8.14764 16.06056
SEP27 8.96547 13.88111
SEP28 9.75772 11.13564
SEP29 10.52947 7.95283
SEP30 11.28736 4.46153
OCT1 12.03886 0.79144
OCT2 12.79200 -2.92503
OCT3 13.55481 -6.55094
OCT4 14.33486 -9.94350
OCT5 15.13886 -12.95378
OCT6 15.97178 -15.42883
OCT7 16.83603 -17.21658
OCT8 17.73081 -18.17550
OCT9 18.65189 -18.18894
OCT10 19.59225 -17.18319
OCT11 20.54386 -15.14592
OCT12 21.49975 -12.14058
OCT13 22.45569 -8.31408
OCT14 23.41083 -3.89469
OCT15 0.36700 0.82136
OCT16 1.32700 5.49606
OCT17 2.29244 9.78778
OCT18 3.26197 13.39439
OCT19 4.23006 16.09147
OCT20 5.18769 17.75453
OCT21 6.12456 18.36022
OCT22 7.03178 17.96781
OCT23 7.90414 16.69039
OCT24 8.74083 14.66608
OCT25 9.54522 12.03739
OCT26 10.32353 8.94061
OCT27 11.08389 5.50392
OCT28 11.83542 1.85083
OCT29 12.58747 -1.89403
OCT30 13.34914 -5.59892
OCT31 14.12875 -9.12067
NOV1 14.93319 -12.30356
NOV2 15.76708 -14.98275
NOV3 16.63172 -16.99344
NOV4 17.52464 -18.18569
NOV5 18.43953 -18.44283
NOV6 19.36772 -17.69922
NOV7 20.30033 -15.95231
NOV8 21.23064 -13.26606
NOV9 22.15583 -9.76775
NOV10 23.07728 -5.64144
NOV11 23.99964 -1.12147
NOV12 0.92919 3.51536
NOV13 1.87153 7.96386
NOV14 2.82917 11.91489
NOV15 3.79950 15.09122
NOV16 4.77403 17.28694
NOV17 5.73981 18.39733
NOV18 6.68272 18.42567
NOV19 7.59167 17.46414
NOV20 8.46089 15.65894
NOV21 9.29064 13.17506
NOV22 10.08608 10.17222
NOV23 10.85558 6.79433
NOV24 11.60939 3.16997
NOV25 12.35847 -0.58108
NOV26 13.11386 -4.33825
NOV27 13.88600 -7.97086
NOV28 14.68403 -11.33106
NOV29 15.51475 -14.25192
NOV30 16.38117 -16.55367
DEC1 17.28142 -18.06036
DEC2 18.20814 -18.62550
DEC3 19.14981 -18.16044
DEC4 20.09364 -16.65478
DEC5 21.02906 -14.17997
DEC6 21.95056 -10.87717
DEC7 22.85825 -6.93728
DEC8 23.75728 -2.58319
DEC9 0.65569 1.94100
DEC10 1.56231 6.37617
DEC11 2.48436 10.45506
DEC12 3.42497 13.91692
DEC13 4.38136 16.53303
DEC14 5.34422 18.13897
DEC15 6.29956 18.66244
DEC16 7.23253 18.13147
DEC17 8.13156 16.65778
DEC18 8.99106 14.40331
DEC19 9.81169 11.54536
DEC20 10.59922 8.25233
DEC21 11.36264 4.67319
DEC22 12.11289 0.93817
DEC23 12.86169 -2.83381
DEC24 13.62097 -6.52425
DEC25 14.40206 -10.00411
DEC26 15.21483 -13.12478
DEC27 16.06633 -15.71500
DEC28 16.95886 -17.58822
DEC29 17.88858 -18.56400
DEC30 18.84500 -18.50261
DEC31 19.81306 -17.34211
JAN1 20.77728 -15.12181
JAN2 21.72608 -11.97972
JAN3 22.65456 -8.12742
JAN4 23.56425 -3.81617
JAN5 0.46167 0.69092
JAN6 1.35575 5.13522
JAN7 2.25550 9.26978
JAN8 3.16747 12.86389
JAN9 4.09394 15.71189
JAN10 5.03158 17.64919
JAN11 5.97142 18.57333
JAN12 6.90106 18.46083
JAN13 7.80814 17.36964
JAN14 8.68353 15.42392
JAN15 9.52339 12.78719
JAN16 10.32919 9.63456
JAN17 11.10667 6.13292
JAN18 11.86444 2.43189
JAN19 12.61289 -1.33614
JAN20 13.36325 -5.04992
JAN21 14.12697 -8.58989
JAN22 14.91511 -11.82758
JAN23 15.73731 -14.61728
JAN24 16.60019 -16.79281
JAN25 17.50581 -18.17503
JAN26 18.44969 -18.59417
JAN27 19.42086 -17.92639
JAN28 20.40408 -16.13433
JAN29 21.38397 -13.29333
JAN30 22.34936 -9.58886
JAN31 23.29558 -5.28703
FEB1 0.22414 -0.69211
FEB2 1.14064 3.89164
FEB3 2.05242 8.18531
FEB4 2.96592 11.94789
FEB5 3.88481 14.98206
FEB6 4.80864 17.13922
FEB7 5.73258 18.32653
FEB8 6.64850 18.51381
FEB9 7.54706 17.73572
FEB10 8.42039 16.08469
FEB11 9.26394 13.69561
FEB12 10.07725 10.72664
FEB13 10.86347 7.34172
FEB14 11.62875 3.69858
FEB15 12.38119 -0.05697
FEB16 13.13000 -3.79108
FEB17 13.88503 -7.37792
FEB18 14.65617 -10.69297
FEB19 15.45275 -13.60600
FEB20 16.28253 -15.97544
FEB21 17.15050 -17.64781
FEB22 18.05742 -18.46600
FEB23 18.99872 -18.28983
FEB24 19.96506 -17.02772
FEB25 20.94411 -14.67147
FEB26 21.92414 -11.32086
FEB27 22.89686 -7.18556
FEB28 23.85906 -2.56156
MAR1 0.81172 2.21003
MAR2 1.75833 6.78822
MAR3 2.70242 10.86986
MAR4 3.64567 14.21381
MAR5 4.58653 16.65231
MAR6 5.52031 18.09356
MAR7 6.44003 18.51775
MAR8 7.33844 17.96783
MAR9 8.20989 16.53603
MAR10 9.05161 14.34811
MAR11 9.86422 11.54844
MAR12 10.65119 8.28842
MAR13 11.41819 4.71864
MAR14 12.17244 0.98494
MAR15 12.92189 -2.77269
MAR16 13.67494 -6.41939
MAR17 14.43983 -9.82294
MAR18 15.22428 -12.85119
MAR19 16.03472 -15.36953
MAR20 16.87578 -17.24075
MAR21 17.74906 -18.32917
MAR22 18.65283 -18.51106
MAR23 19.58203 -17.69192
MAR24 20.52919 -15.82928
MAR25 21.48658 -12.95517
MAR26 22.44817 -9.19294
MAR27 23.41106 -4.76119
MAR28 0.37531 0.03903
MAR29 1.34292 4.85456
MAR30 2.31556 9.32403
MAR31 3.29256 13.12511
APR1 4.26956 16.01408
APR2 5.23844 17.84844
APR3 6.18917 18.58897
APR4 7.11222 18.28392
APR5 8.00119 17.04258
APR6 8.85392 15.00725
APR7 9.67228 12.33158
APR8 10.46136 9.16753
APR9 11.22839 5.66042
APR10 11.98158 1.94919
APR11 12.72964 -1.83089
APR12 13.48111 -5.54508
APR13 14.24392 -9.05672
APR14 15.02508 -12.22603
APR15 15.82994 -14.91136
APR16 16.66164 -16.97267
APR17 17.52056 -18.27844
APR18 18.40408 -18.71581
APR19 19.30719 -18.20303
APR20 20.22367 -16.70242
APR21 21.14792 -14.23178
APR22 22.07653 -10.87319
APR23 23.00928 -6.77889
APR24 23.94889 -2.17350
APR25 0.89983 2.65100
APR26 1.86639 7.35328
APR27 2.85006 11.57728
APR28 3.84717 15.00081
APR29 4.84811 17.38606
APR30 5.83861 18.61419
MAY1 6.80350 18.69053
MAY2 7.73094 17.71917
MAY3 8.61508 15.86194
MAY4 9.45636 13.29964
MAY5 10.26008 10.20636
MAY6 11.03475 6.73950
MAY7 11.79028 3.03986
MAY8 12.53708 -0.76222
MAY9 13.28536 -4.53919
MAY10 14.04447 -8.15972
MAY11 14.82250 -11.48433
MAY12 15.62544 -14.36528
MAY13 16.45653 -16.65125
MAY14 17.31539 -18.19789
MAY15 18.19800 -18.88264
MAY16 19.09733 -18.62114
MAY17 20.00514 -17.38058
MAY18 20.91431 -15.18622
MAY19 21.82089 -12.12067
MAY20 22.72508 -8.31992
MAY21 23.63103 -3.96953
MAY22 0.54581 0.69667
MAY23 1.47731 5.39892
MAY24 2.43186 9.82153
MAY25 3.41139 13.63817
MAY26 4.41075 16.55472
MAY27 5.41719 18.36050
MAY28 6.41281 18.96767
MAY29 7.37950 18.41831
MAY30 8.30431 16.85517
MAY31 9.18189 14.47344
JUN1 10.01436 11.47694
JUN2 10.80894 8.05186
JUN3 11.57594 4.35844
JUN4 12.32692 0.53469
JUN5 13.07361 -3.29433
JUN6 13.82728 -7.00586
JUN7 14.59808 -10.47025
JUN8 15.39425 -13.54536
JUN9 16.22117 -16.07697
JUN10 17.08017 -17.90694
JUN11 17.96783 -18.89017
JUN12 18.87622 -18.91761
JUN13 19.79461 -17.93808
JUN14 20.71244 -15.97108
JUN15 21.62233 -13.10564
JUN16 22.52183 -9.48836
JUN17 23.41372 -5.30844
JUN18 0.30489 -0.78642
JUN19 1.20458 3.83136
JUN20 2.12211 8.27572
JUN21 3.06419 12.26228
JUN22 4.03222 15.51117
JUN23 5.02003 17.78197
JUN24 6.01378 18.91686
JUN25 6.99511 18.87333
JUN26 7.94653 17.72736
JUN27 8.85622 15.64389
JUN28 9.72019 12.83089
JUN29 10.54147 9.49844
JUN30 11.32797 5.83511
JUL1 12.09044 2.00103
JUL2 12.84078 -1.86739
JUL3 13.59097 -5.64747
JUL4 14.35267 -9.21847
JUL5 15.13617 -12.45181
JUL6 15.94967 -15.20458
JUL7 16.79794 -17.32075
JUL8 17.68092 -18.64169
JUL9 18.59300 -19.02828
JUL10 19.52375 -18.38947
JUL11 20.46047 -16.70850
JUL12 21.39164 -14.05433
JUL13 22.31033 -10.57481
JUL14 23.21528 -6.47578
JUL15 0.11061 -1.99742
JUL16 1.00411 2.60414
JUL17 1.90508 7.06756
JUL18 2.82186 11.13303
JUL19 3.75942 14.55100
JUL20 4.71703 17.09928
JUL21 5.68706 18.60964
JUL22 6.65603 18.99686
JUL23 7.60806 18.27603
JUL24 8.52936 16.55656
JUL25 9.41169 14.01397
JUL26 10.25350 10.85275
JUL27 11.05881 7.27514
JUL28 11.83558 3.46314
JUL29 12.59397 -0.42658
JUL30 13.34517 -4.25869
JUL31 14.10050 -7.91028
AUG1 14.87081 -11.26067
AUG2 15.66578 -14.18225
AUG3 16.49278 -16.53506
AUG4 17.35561 -18.16872
AUG5 18.25331 -18.93439
AUG6 19.17939 -18.70839
AUG7 20.12306 -17.42256
AUG8 21.07192 -15.09144
AUG9 22.01553 -11.82419
AUG10 22.94803 -7.81608
AUG11 23.86906 -3.32408
AUG12 0.78283 1.36350
AUG13 1.69619 5.95342
AUG14 2.61628 10.16714
AUG15 3.54814 13.75422
AUG16 4.49278 16.50483
AUG17 5.44597 18.26392
AUG18 6.39850 18.94700
AUG19 7.33839 18.55072
AUG20 8.25406 17.15122
AUG21 9.13742 14.88839
AUG22 9.98533 11.94078
AUG23 10.79950 8.50014
AUG24 11.58539 4.75247
AUG25 12.35097 0.86739
AUG26 13.10550 -3.00428
AUG27 13.85881 -6.72769
AUG28 14.62072 -10.17786
AUG29 15.40033 -13.23231
AUG30 16.20553 -15.76489
AUG31 17.04178 -17.64294
SEP1 17.91131 -18.73081
SEP2 18.81217 -18.90189
SEP3 19.73822 -18.06006
SEP4 20.68044 -16.16611
SEP5 21.62933 -13.26217
SEP6 22.57767 -9.48431
SEP7 23.52200 -5.05825
SEP8 0.46308 -0.27839
SEP9 1.40444 4.52458
SEP10 2.35047 9.01953
SEP11 3.30411 12.90767
SEP12 4.26483 15.94814
SEP13 5.22781 17.97572
SEP14 6.18431 18.91017
SEP15 7.12386 18.75578
SEP16 8.03697 17.59039
SEP17 8.91747 15.54592
SEP18 9.76347 12.78633
SEP19 10.57719 9.48817
SEP20 11.36392 5.82700
SEP21 12.13089 1.96986
SEP22 12.88644 -1.92764
SEP23 13.63917 -5.72122
SEP24 14.39747 -9.27575
SEP25 15.16914 -12.46225
SEP26 15.96083 -15.15500
SEP27 16.77744 -17.22994
SEP28 17.62144 -18.56617
SEP29 18.49253 -19.05164
SEP30 19.38742 -18.59444
OCT1 20.30083 -17.13869
OCT2 21.22681 -14.68250
OCT3 22.16050 -11.29522
OCT4 23.09967 -7.12894
OCT5 0.04500 -2.42106
OCT6 0.99944 2.51692
OCT7 1.96647 7.32669
OCT8 2.94764 11.64489
OCT9 3.94044 15.15150
OCT10 4.93717 17.61350
OCT11 5.92564 18.91117
OCT12 6.89222 19.04039
OCT13 7.82558 18.09156
OCT14 8.71917 16.21564
OCT15 9.57214 13.59061
OCT16 10.38825 10.39753
OCT17 11.17450 6.80839
OCT18 11.93947 2.98297
OCT19 12.69239 -0.92928
OCT20 13.44233 -4.78594
OCT21 14.19769 -8.44842
OCT22 14.96581 -11.78028
OCT23 15.75244 -14.64719
OCT24 16.56128 -16.91928
OCT25 17.39356 -18.47558
OCT26 18.24781 -19.21114
OCT27 19.12039 -19.04547
OCT28 20.00644 -17.93158
OCT29 20.90142 -15.86433
OCT30 21.80253 -12.88783
OCT31 22.70981 -9.10294
NOV1 23.62644 -4.67503
NOV2 0.55800 0.15942
NOV3 1.51083 5.09339
NOV4 2.48972 9.76617
NOV5 3.49472 13.80222
NOV6 4.51864 16.87036
NOV7 5.54667 18.74528
NOV8 6.55936 19.34669
NOV9 7.53831 18.73644
NOV10 8.47128 17.07792
NOV11 9.35422 14.58150
NOV12 10.19044 11.46069
NOV13 10.98792 7.90897
NOV14 11.75719 4.09422
NOV15 12.50953 0.16364
NOV16 13.25592 -3.74753
NOV17 14.00653 -7.50783
NOV18 14.77000 -10.98350
NOV19 15.55308 -14.03664
NOV20 16.35983 -16.52769
NOV21 17.19103 -18.32311
NOV22 18.04408 -19.30689
NOV23 18.91336 -19.39381
NOV24 19.79186 -18.54053
NOV25 20.67303 -16.75125
NOV26 21.55294 -14.07769
NOV27 22.43142 -10.61594
NOV28 23.31231 -6.50442
NOV29 0.20297 -1.92667
NOV30 1.11283 2.88253
DEC1 2.05139 7.63278
DEC2 3.02506 11.98594
DEC3 4.03386 15.58714
DEC4 5.06819 18.12231
DEC5 6.10900 19.38719
DEC6 7.13222 19.33503
DEC7 8.11636 18.07350
DEC8 9.04856 15.81406
DEC9 9.92617 12.80597
DEC10 10.75456 9.28658
DEC11 11.54400 5.45864
DEC12 12.30692 1.48869
DEC13 13.05611 -2.48342
DEC14 13.80375 -6.33194
DEC15 14.56089 -9.93361
DEC16 15.33661 -13.15933
DEC17 16.13739 -15.87169
DEC18 16.96614 -17.92908
DEC19 17.82136 -19.19767
DEC20 18.69728 -19.56933
DEC21 19.58503 -18.98094
DEC22 20.47489 -17.42767
DEC23 21.35931 -14.96536
DEC24 22.23486 -11.70300
DEC25 23.10311 -7.79056
DEC26 23.97019 -3.40933
DEC27 0.84561 1.23097
DEC28 1.74042 5.88992
DEC29 2.66503 10.29322
DEC30 3.62608 14.13881
DEC31 4.62303 17.12189
JAN1 5.64544 18.98358
JAN2 6.67367 19.57072
JAN3 7.68378 18.87722
JAN4 8.65528 17.03922
JAN5 9.57642 14.28681
JAN6 10.44542 10.88117
JAN7 11.26814 7.06719
JAN8 12.05508 3.05161
JAN9 12.81861 -0.99808
JAN10 13.57161 -4.94403
JAN11 14.32631 -8.66433
JAN12 15.09378 -12.04058
JAN13 15.88311 -14.94872
JAN14 16.70039 -17.25578
JAN15 17.54775 -18.82472
JAN16 18.42244 -19.52864
JAN17 19.31714 -19.27222
JAN18 20.22147 -18.01483
JAN19 21.12500 -15.78572
JAN20 22.02011 -12.68564
JAN21 22.90403 -8.87511
JAN22 23.77922 -4.55667
JAN23 0.65247 0.04144
JAN24 1.53331 4.67514
JAN25 2.43192 9.08897
JAN26 3.35692 13.01931
JAN27 4.31228 16.20444
JAN28 5.29494 18.40800
JAN29 6.29344 19.45633
JAN30 7.28994 19.27764
JAN31 8.26500 17.92256
FEB1 9.20336 15.55075
FEB2 10.09739 12.39025
FEB3 10.94725 8.68975
FEB4 11.75897 4.68297
FEB5 12.54211 0.57117
FEB6 13.30781 -3.47892
FEB7 14.06750 -7.32794
FEB8 14.83217 -10.85308
FEB9 15.61161 -13.93731
FEB10 16.41375 -16.46144
FEB11 17.24356 -18.30153
FEB12 18.10225 -19.33389
FEB13 18.98661 -19.44867
FEB14 19.88953 -18.57083
FEB15 20.80172 -16.68253
FEB16 21.71431 -13.83933
FEB17 22.62136 -10.17403
FEB18 23.52144 -5.88694
FEB19 0.41742 -1.22758
FEB20 1.31553 3.52675
FEB21 2.22347 8.09006
FEB22 3.14817 12.18358
FEB23 4.09347 15.55056
FEB24 5.05803 17.97372
FEB25 6.03422 19.29742
FEB26 7.00925 19.44975
FEB27 7.96822 18.45528
FEB28 8.89842 16.42939
MAR1 9.79217 13.55475
MAR2 10.64786 10.04911
MAR3 11.46903 6.13628
MAR4 12.26267 2.02606
MAR5 13.03767 -2.09525
MAR6 13.80361 -6.06606
MAR7 14.56997 -9.74569
MAR8 15.34544 -13.00800
MAR9 16.13742 -15.73486
MAR10 16.95125 -17.81194
MAR11 17.78972 -19.12828
MAR12 18.65242 -19.58178
MAR13 19.53575 -19.09056
MAR14 20.43403 -17.60903
MAR15 21.34081 -15.14531
MAR16 22.25108 -11.77544
MAR17 23.16258 -7.65039
MAR18 0.07647 -2.99408
MAR19 0.99672 1.90939
MAR20 1.92875 6.73769
MAR21 2.87725 11.15950
MAR22 3.84386 14.86756
MAR23 4.82522 17.61089
MAR24 5.81233 19.22267
MAR25 6.79211 19.63689
MAR26 7.75067 18.88864
MAR27 8.67711 17.09692
MAR28 9.56578 14.43614
MAR29 10.41664 11.10744
MAR30 11.23408 7.31642
MAR31 12.02539 3.26022
APR1 12.79919 -0.87817
APR2 13.56450 -4.93144
APR3 14.32992 -8.74672
APR4 15.10306 -12.18394
APR5 15.89014 -15.11375
APR6 16.69547 -17.41686
APR7 17.52100 -18.98489
APR8 18.36625 -19.72392
APR9 19.22847 -19.56042
APR10 20.10361 -18.44933
APR11 20.98747 -16.38322
APR12 21.87728 -13.40172
APR13 22.77272 -9.60089
APR14 23.67633 -5.14200
APR15 0.59325 -0.25728
APR16 1.52981 4.75244
APR17 2.49144 9.53478
APR18 3.48006 13.72108
APR19 4.49122 16.97786
APR20 5.51300 19.06197
APR21 6.52783 19.86061
APR22 7.51725 19.39869
APR23 8.46717 17.81172
APR24 9.37083 15.29939
APR25 10.22903 12.08172
APR26 11.04783 8.37131
APR27 11.83642 4.36178
APR28 12.60522 0.22753
APR29 13.36458 -3.87194
APR30 14.12403 -7.78700
MAY1 14.89175 -11.37422
MAY2 15.67406 -14.49575
MAY3 16.47478 -17.02111
MAY4 17.29511 -18.83211
MAY5 18.13328 -19.82975
MAY6 18.98528 -19.94164
MAY7 19.84603 -19.12861
MAY8 20.71081 -17.38839
MAY9 21.57703 -14.75717
MAY10 22.44517 -11.31103
MAY11 23.31917 -7.16981
MAY12 0.20608 -2.50503
MAY13 1.11503 2.44978
MAY14 2.05522 7.39328
MAY15 3.03311 11.96567
MAY16 4.04883 15.78403
MAY17 5.09283 18.50614
MAY18 6.14556 19.90544
MAY19 7.18203 19.92233
MAY20 8.17981 18.66178
MAY21 9.12525 16.34025
MAY22 10.01531 13.21719
MAY23 10.85533 9.54336
MAY24 11.65556 5.53708
MAY25 12.42828 1.38200
MAY26 13.18597 -2.76458
MAY27 13.94019 -6.76072
MAY28 14.70106 -10.47064
MAY29 15.47653 -13.75950
MAY30 16.27181 -16.49308
MAY31 17.08878 -18.54294
JUN1 17.92567 -19.79633
JUN2 18.77742 -20.16856
JUN3 19.63706 -19.61369
JUN4 20.49764 -18.13072
JUN5 21.35439 -15.76247
JUN6 22.20622 -12.59047
JUN7 23.05619 -8.72992
JUN8 23.91142 -4.32889
JUN9 0.78203 0.42564
JUN10 1.67972 5.29736
JUN11 2.61561 9.99211
JUN12 3.59678 14.16342
JUN13 4.62197 17.44567
JUN14 5.67828 19.52067
JUN15 6.74158 20.19928
JUN16 7.78322 19.47475
JUN17 8.77958 17.51139
JUN18 9.71836 14.57744
JUN19 10.59914 10.96661
JUN20 11.42978 6.94553
JUN21 12.22244 2.73422
JUN22 12.99078 -1.49050
JUN23 13.74806 -5.58228
JUN24 14.50639 -9.41067
JUN25 15.27592 -12.84983
JUN26 16.06419 -15.77250
JUN27 16.87547 -18.05028
JUN28 17.70981 -19.56122
JUN29 18.56317 -20.20369
JUN30 19.42814 -19.91236
JUL1 20.29597 -18.67111
JUL2 21.15908 -16.51753
JUL3 22.01325 -13.53831
JUL4 22.85886 -9.85914
JUL5 23.70089 -5.63522
JUL6 0.54822 -1.04725
JUL7 1.41228 3.69567
JUL8 2.30547 8.34867
JUL9 3.23858 12.62586
JUL10 4.21739 16.20847
JUL11 5.23842 18.77786
JUL12 6.28650 20.07764
JUL13 7.33664 19.98486
JUL14 8.36156 18.54983
JUL15 9.34042 15.97542
JUL16 10.26383 12.54978
JUL17 11.13319 8.57392
JUL18 11.95722 4.31506
JUL19 12.74814 -0.00911
JUL20 13.51928 -4.22608
JUL21 14.28344 -8.19475
JUL22 15.05219 -11.79092
JUL23 15.83500 -14.89569
JUL24 16.63856 -17.38947
JUL25 17.46578 -19.15319
JUL26 18.31547 -20.07733
JUL27 19.18214 -20.07731
JUL28 20.05753 -19.11097
JUL29 20.93275 -17.19175
JUL30 21.80097 -14.39231
JUL31 22.65931 -10.83847
AUG1 23.50950 -6.69708
AUG2 0.35764 -2.16442
AUG3 1.21306 2.54117
AUG4 2.08681 7.18133
AUG5 2.98972 11.49692
AUG6 3.92978 15.21097
AUG7 4.90875 18.04419
AUG8 5.91942 19.74989
AUG9 6.94497 20.16494
AUG10 7.96281 19.25681
AUG11 8.95125 17.13706
AUG12 9.89600 14.03142
AUG13 10.79222 10.22267
AUG14 11.64344 5.99600
AUG15 12.45831 1.60486
AUG16 13.24800 -2.74100
AUG17 14.02431 -6.87222
AUG18 14.79844 -10.64917
AUG19 15.58031 -13.94989
AUG20 16.37767 -16.66064
AUG21 17.19547 -18.67114
AUG22 18.03519 -19.87658
AUG23 18.89444 -20.18667
AUG24 19.76761 -19.53983
AUG25 20.64722 -17.91894
AUG26 21.52614 -15.36333
AUG27 22.39978 -11.97300
AUG28 23.26731 -7.90456
AUG29 0.13192 -3.36147
AUG30 1.00022 1.41781
AUG31 1.88086 6.17128
SEP1 2.78278 10.62372
SEP2 3.71286 14.49753
SEP3 4.67344 17.52881
SEP4 5.65997 19.49244
SEP5 6.66033 20.23542
SEP6 7.65717 19.70814
SEP7 8.63261 17.97783
SEP8 9.57339 15.21422
SEP9 10.47336 11.65392
SEP10 11.33344 7.55914
SEP11 12.15961 3.18503
SEP12 12.96078 -1.23928
SEP13 13.74683 -5.51761
SEP14 14.52756 -9.48481
SEP15 15.31181 -13.00094
SEP16 16.10678 -15.94428
SEP17 16.91750 -18.20575
SEP18 17.74636 -19.68719
SEP19 18.59275 -20.30403
SEP20 19.45347 -19.99247
SEP21 20.32353 -18.71981
SEP22 21.19783 -16.49525
SEP23 22.07269 -13.37908
SEP24 22.94708 -9.48842
SEP25 23.82328 -4.99894
SEP26 0.70653 -0.14197
SEP27 1.60389 4.80425
SEP28 2.52267 9.52967
SEP29 3.46803 13.71508
SEP30 4.44064 17.06169
OCT1 5.43450 19.32594
OCT2 6.43683 20.35361
OCT3 7.43086 20.10253
OCT4 8.40025 18.64336
OCT5 9.33367 16.13703
OCT6 10.22667 12.79961
OCT7 11.08119 8.86864
OCT8 11.90364 4.57964
OCT9 12.70278 0.15303
OCT10 13.48814 -4.21106
OCT11 14.26883 -8.33364
OCT12 15.05283 -12.05619
OCT13 15.84644 -15.23914
OCT14 16.65367 -17.76092
OCT15 17.47603 -19.51847
OCT16 18.31253 -20.42939
OCT17 19.16008 -20.43519
OCT18 20.01464 -19.50558
OCT19 20.87239 -17.64236
OCT20 21.73122 -14.88336
OCT21 22.59167 -11.30739
OCT22 23.45725 -7.04075
OCT23 0.33428 -2.26550
OCT24 1.23092 2.77381
OCT25 2.15564 7.77064
OCT26 3.11469 12.37194
OCT27 4.10892 16.21364
OCT28 5.13106 18.97497
OCT29 6.16497 20.43839
OCT30 7.18911 20.53108
OCT31 8.18286 19.32719
NOV1 9.13244 17.01017
NOV2 10.03328 13.81867
NOV3 10.88869 10.00097
NOV4 11.70708 5.78969
NOV5 12.49922 1.39417
NOV6 13.27636 -2.99733
NOV7 14.04897 -7.21264
NOV8 14.82597 -11.09156
NOV9 15.61403 -14.48472
NOV10 16.41719 -17.25558
NOV11 17.23631 -19.28564
NOV12 18.06917 -20.48097
NOV13 18.91125 -20.77886
NOV14 19.75697 -20.15175
NOV15 20.60144 -18.60756
NOV16 21.44206 -16.18672
NOV17 22.27958 -12.95917
NOV18 23.11833 -9.02428
NOV19 23.96603 -4.51667
NOV20 0.83300 0.38175
NOV21 1.73086 5.42744
NOV22 2.67025 10.30644
NOV23 3.65761 14.64442
NOV24 4.69050 18.04883
NOV25 5.75442 20.18539
NOV26 6.82383 20.86411
NOV27 7.86942 20.08811
NOV28 8.86794 18.03342
NOV29 9.80828 14.97564
NOV30 10.69117 11.21222
DEC1 11.52533 7.01358
DEC2 12.32342 2.60733
DEC3 13.09908 -1.81731
DEC4 13.86522 -6.09733
DEC5 14.63314 -10.08411
DEC6 15.41175 -13.63550
DEC7 16.20689 -16.61408
DEC8 17.02081 -18.89131
