#*******************************************************************
#*** Atmospheric CO2 concentrations (ppmv) derived from in situ  ***
#*** air samples collected at Mauna Loa Observatory, Hawaii      ***
#***                                                             ***
#*** Source: C.D. Keeling                                        ***
#***         T.P. Whorf, and the Carbon Dioxide Research Group   ***
#***         Scripps Institution of Oceanography (SIO)           ***
#***         University of California                            ***
#***         La Jolla, California USA 92093-0444                 ***
#***                                                             ***
#*** May 2005                                                    ***
#***                                                             ***
#*******************************************************************
#Monthly values are expressed in parts per million (ppm) and reported in the 2003A SIO manometric mole 
#fraction scale.  The monthly values have been adjusted to the 15th of each month.  Missing values are 
#denoted by -99.99. 

1979.46 339.29
1979.54 337.73
1979.61 336.09
1979.69 333.91
1979.77 333.86
1979.85 335.29
1979.92 336.73
1980 338.01
1980.08 338.36
1980.15 340.08
1980.23 340.77
1980.31 341.46
1980.38 341.46
1980.46 341.17
1980.54 339.56
1980.61 337.60
1980.69 335.88
1980.77 336.01
1980.85 337.10
1980.92 338.21
1981 339.23
1981.08 340.47
1981.15 341.38
1981.23 342.51
1981.31 342.91
1981.38 342.91
1981.46 342.25
1981.54 340.49
1981.61 338.43
1981.69 336.69
1981.77 336.85
1981.85 338.36
1981.92 339.61
1982 340.75
1982.08 341.61
1982.15 342.70
1982.23 343.56
1982.31 344.13
1982.38 344.13
1982.46 343.35
1982.54 342.06
1982.61 339.82
1982.69 337.97
1982.77 337.86
1982.85 339.26
1982.92 340.49
1983 341.37
1983.08 342.52
1983.15 343.10
1983.23 344.94
1983.31 345.75
1983.38 345.75
1983.46 345.32
1983.54 343.99
1983.61 342.39
1983.69 339.86
1983.77 339.99
1983.85 341.16
1983.92 342.99
1984 343.70
1984.08 344.51
1984.15 345.28
1984.23 347.08
1984.31 347.43
1984.38 347.43
1984.46 346.79
1984.54 345.40
1984.61 343.28
1984.69 341.07
1984.77 341.35
1984.85 342.98
1984.92 344.22
1985 344.97
1985.08 346.00
1985.15 347.43
1985.23 348.35
1985.31 348.93
1985.38 348.93
1985.46 348.25
1985.54 346.56
1985.61 344.69
1985.69 343.09
1985.77 342.80
1985.85 344.24
1985.92 345.56
1986 346.29
1986.08 346.96
1986.15 347.86
1986.23 349.55
1986.31 350.21
1986.38 350.21
1986.46 349.54
1986.54 347.94
1986.61 345.91
1986.69 344.86
1986.77 344.17
1986.85 345.66
1986.92 346.90
1987 348.02
